,date,time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
0,22/7/3,22:09,4,2,1,1,42,2,b'U\x9c',2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22/7/3,22:12,5,2,1,1,48,1,b':U',1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22/7/3,22:13,6,2,1,1,47,1,b'\xa0Z',1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,22/7/3,22:18,7,2,1,1,44,1,b'\xdf1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22/7/3,22:19,8,2,1,1,42,1,b'?\xd5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22/7/3,22:22,9,2,1,1,57,1,b'[\xcf',1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22/7/3,22:22,10,3,1,1,72,1,b'Q\x8c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22/7/3,22:24,11,2,1,1,43,1,b'h\xfa',1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22/7/3,22:26,12,2,1,1,51,1,b'\xa8\xf5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22/7/3,22:26,13,3,1,1,53,1,b'\xf7\xaf',1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22/7/3,22:28,14,2,1,1,42,1,b'@\x82',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
11,22/7/3,22:30,15,3,1,1,59,1,b'\xb1\xa0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22/7/3,22:32,16,2,1,1,50,1,b'\xa0\xdc',1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22/7/3,22:33,17,2,1,1,45,1,b'\x06\xb2',1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
14,22/7/3,22:38,18,4,1,1,56,1,b'=b',1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22/7/3,22:48,19,2,1,1,49,1,b'\xd8\x9c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22/7/3,22:48,20,3,1,1,58,1,b'\x8b\xfb',1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22/7/3,22:50,21,2,1,1,45,1,b'\n\xa5',1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
18,22/7/3,22:52,22,2,1,1,43,1,b'@\x1a',1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22/7/3,22:54,23,2,1,1,54,1,b'\x84G',1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22/7/3,22:55,24,3,1,1,53,1,b'6\xd8',1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22/7/3,22:57,25,3,1,1,46,1,b'\x97\x04',1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22/7/3,23:03,26,2,1,1,53,1,b'm\xc2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22/7/3,23:04,27,2,1,1,45,1,b'\xe6\x83',1,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22/7/3,23:04,28,3,1,1,55,1,b'\xaf;',1,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22/7/3,23:07,29,2,1,1,56,1,b'D\xc4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22/7/3,23:08,30,2,1,1,50,1,b'\xe3\x14',1,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22/7/3,23:10,31,2,1,1,39,1,b'\xff\xac',1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,22/7/3,23:10,32,3,1,1,56,1,b'|J',1,,,,,,,,,,,,,,,,,,,,,,,,,,
29,22/7/3,23:11,33,2,1,1,42,1,b'\x93\xec',1,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22/7/3,23:13,34,2,1,1,46,1,b'A\xa0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
31,22/7/3,23:19,35,2,1,1,53,1,b'\xa4\t',1,,,,,,,,,,,,,,,,,,,,,,,,,,
