,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22
0,2022/07/04 14:15,4,2,1,1,51,1,b't\xe4',1,[51],,,,,,,,,,,,,,,,,,,,,,
1,2022/07/04 14:16,5,4,1,1,44,1,b'\x9d\xa0',1,[44],,,,,,,,,,,,,,,,,,,,,,
2,2022/07/04 14:17,6,2,1,1,48,1,b'\xc9\xf1',1,[48],,,,,,,,,,,,,,,,,,,,,,
3,2022/07/04 14:18,7,4,1,1,55,1,"b'\xe2,'",1,[55],,,,,,,,,,,,,,,,,,,,,,
4,2022/07/04 14:20,8,2,1,1,48,1,b'F\xef',1,[48],,,,,,,,,,,,,,,,,,,,,,
5,2022/07/04 14:24,9,2,1,1,43,1,b'\x88x',1,"[43, 48]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
6,2022/07/04 14:25,10,2,1,1,48,1,b'\xa5\xf6',1,[48],,,,,,,,,,,,,,,,,,,,,,
7,2022/07/04 14:27,11,2,1,1,51,1,b'\x82\xc6',1,[51],,,,,,,,,,,,,,,,,,,,,,
8,2022/07/04 14:30,12,3,1,1,57,1,b'\xa2E',1,[57],,,,,,,,,,,,,,,,,,,,,,
9,2022/07/04 14:31,13,4,1,1,63,1,b'\x1d\x80',1,[63],,,,,,,,,,,,,,,,,,,,,,
10,2022/07/04 14:32,14,2,1,1,54,2,b'P2',2,"[54, 54, 57]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
11,2022/07/04 14:32,15,4,1,1,52,1,b'\xbc\xca',1,[52],,,,,,,,,,,,,,,,,,,,,,
12,2022/07/04 14:38,16,3,1,1,51,1,b'E7',1,[51],,,,,,,,,,,,,,,,,,,,,,
13,2022/07/04 14:44,17,4,1,1,59,1,b'u\xf5',1,[59],,,,,,,,,,,,,,,,,,,,,,
14,2022/07/04 14:45,18,2,1,1,41,1,b'c\n',1,[41],,,,,,,,,,,,,,,,,,,,,,
