,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29
0,2022/07/04 23:54,4,3,1,1,50,1,b'\xdc\xca',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/05 00:05,5,2,1,1,45,1,b'\xaa\x19',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/05 00:11,6,3,1,1,45,1,b'\x8b\xc7',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/05 00:16,7,3,1,1,50,1,b'\x9an',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/05 00:17,8,2,1,1,41,1,b'\x81]',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/05 00:19,9,3,1,1,51,1,b'\xb1\xc8',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/05 00:25,10,2,1,1,40,1,b'\xc1*',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/05 00:39,11,2,1,1,45,1,b'\xfe\x19',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/05 00:43,12,3,1,1,50,1,b'\xcf\x8f',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/05 00:44,13,3,1,1,46,1,b'\xa8\xbc',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/05 00:45,14,2,1,1,42,1,b'\x9d\x0c',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/05 00:48,15,2,1,1,54,1,b'^$',1,[54],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/05 03:09,16,2,1,1,44,1,b'\xad6',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/05 03:23,17,2,1,1,46,1,b'\x8a\xa5',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/05 03:29,18,2,1,1,49,1,b'\xc3\xaa',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/05 03:35,19,3,1,1,37,1,b'\xe3S',1,[37],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/05 03:44,20,3,1,1,51,1,b'cu',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/05 03:50,21,3,1,1,60,1,b'\xcbm',1,[60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/05 03:52,22,3,1,1,56,1,b'\xc9\xab',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/05 03:53,23,2,1,1,48,1,b'\xf9\x98',1,[48],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/05 03:58,24,2,1,1,50,1,b' \xd5',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022/07/05 04:04,25,2,1,1,38,1,b'\xf0\xfd',1,[38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/05 04:05,26,3,1,1,56,1,b'\xcaR',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022/07/05 04:08,27,3,1,1,52,1,b'<F',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/05 04:21,28,2,1,1,46,1,b'\xf5X',1,"[46, 51]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,2022/07/05 04:29,29,3,1,1,54,1,b'\x95\xce',1,[54],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/05 04:33,30,2,1,1,50,1,b'\xdf{',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/05 04:35,31,3,1,1,41,1,b'\x84x',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022/07/05 04:40,32,4,1,1,52,1,b'qV',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022/07/05 04:42,33,2,1,1,42,1,b'e\xfc',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/05 04:44,34,2,1,1,40,1,b'-\xfb',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022/07/05 04:45,35,3,1,1,53,1,b'\xebe',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022/07/05 04:46,36,2,1,1,52,1,b'\x11\x08',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2022/07/05 04:49,37,3,1,1,54,1,b'\xd1\xec',1,"[54, 58]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022/07/05 04:50,38,3,1,1,45,1,b'\\\x8c',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022/07/05 04:51,39,2,1,1,51,1,b'W7',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
