,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24
0,2022/07/05 18:10,4,2,1,1,43,1,b'\x14\xc0',1,[43],,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/05 18:10,5,3,1,1,54,1,b'\xff\x99',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/05 18:11,6,3,1,1,54,1,b'\xbd\xe6',1,"[54, 58]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
3,2022/07/05 18:13,7,2,1,1,42,1,b'\xc4\xef',1,"[42, 51]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
4,2022/07/05 18:14,8,3,1,1,49,1,b'\x8d\x07',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/05 18:15,9,3,1,1,47,2,b'\xeb\x83',2,"[47, 47]",,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/05 18:16,10,3,1,1,47,1,b'\xc0\xfc',1,"[47, 50, 57]",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
7,2022/07/05 18:18,11,3,1,1,53,1,b'\xfbP',1,[53],,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/05 18:19,12,3,1,1,49,1,b'S\xd2',1,"[49, 55]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
9,2022/07/05 18:21,13,3,1,1,53,1,b'J\x85',1,[53],,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/05 18:22,14,2,1,1,54,1,b'ts',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/05 18:22,15,3,1,1,50,1,b']\x10',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/05 18:23,16,2,1,1,50,1,b'z\x81',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/05 18:23,17,3,1,1,44,1,b'\x03o',1,"[44, 49]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
14,2022/07/05 18:24,18,2,1,1,49,1,b'\xae&',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/05 18:26,19,3,1,1,44,1,b'\xc5\x88',1,"[44, 52]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
16,2022/07/05 18:27,20,3,1,1,49,1,b'/S',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
