,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29,bucket_30
0,2022/07/05 23:15,4,2,1,1,40,1,b'z\x0b',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/05 23:18,5,2,1,1,50,1,b'#h',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/05 23:34,6,3,1,1,52,1,b'\xe0.',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/05 23:44,7,2,1,1,55,1,b'=\xc1',1,[55],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/05 23:46,8,2,1,1,40,1,b'\x18\xc9',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/05 23:52,9,2,1,1,47,1,b'\x8d\x0b',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/05 23:57,10,2,1,1,50,1,b'P\xd4',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/06 00:00,11,2,1,1,42,1,b'{\x82',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/06 00:11,12,2,1,1,39,1,b'z\x12',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/06 00:26,13,3,1,1,49,1,b'\xed9',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/06 00:35,14,2,1,1,54,1,b'\xa2Q',1,[54],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/06 00:39,15,2,1,1,43,1,b'y\xa8',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/06 00:51,16,3,1,1,60,1,b'R ',1,[60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/06 00:52,17,2,1,1,47,1,b'\x19>',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/06 00:57,18,2,1,1,53,1,b'\xe5\xb6',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/06 01:25,19,2,1,1,30,1,b'\xad\xac',1,[30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/06 02:50,20,2,1,1,38,1,b'Y\x9d',1,[38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/06 03:29,21,2,1,1,49,1,b'\xff\xca',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/06 03:29,22,3,1,1,36,1,b'\xfdb',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/06 03:45,23,2,1,1,53,1,b'\x8f\xa4',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/06 04:02,24,2,1,1,56,1,b'ch',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022/07/06 04:03,25,3,1,1,57,1,b'0\xa2',1,[57],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/06 04:14,26,3,1,1,58,1,b'\x0e\x10',1,[58],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022/07/06 04:15,27,2,1,1,40,1,b'1<',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/06 04:25,28,1,1,1,41,1,"b',a'",1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022/07/06 04:25,29,3,1,1,43,1,b'!k',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/06 04:28,30,3,1,1,59,1,b'\xb9@',1,[59],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/06 04:31,31,3,1,1,53,1,b'\xec\xb6',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022/07/06 04:32,32,3,1,1,44,1,b'\xa5\x1a',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022/07/06 04:34,33,3,1,1,51,1,b'\x17~',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/06 04:37,34,2,1,1,49,1,b'\xa7!',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
