,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19
0,2022/07/06 19:32,4,3,1,1,48,1,b'\xf4;',1,[48],,,,,,,,,,,,,,,,,,,
1,2022/07/06 19:38,5,2,1,1,39,1,b'~\x90',1,[39],,,,,,,,,,,,,,,,,,,
2,2022/07/06 19:41,6,2,1,1,42,1,b'\xf8\x17',1,[42],,,,,,,,,,,,,,,,,,,
3,2022/07/06 19:43,7,2,1,1,41,1,b'\x138',1,"[41, 43, 50]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
4,2022/07/06 19:44,8,2,1,1,51,1,b'\xf2<',1,"[51, 54]",0.0,0.0,1.0,,,,,,,,,,,,,,,,
5,2022/07/06 19:45,9,2,1,1,37,2,b'\x0bR',2,"[37, 37]",,,,,,,,,,,,,,,,,,,
6,2022/07/06 19:45,10,2,1,1,41,1,b'\xa6\xff',1,[41],,,,,,,,,,,,,,,,,,,
7,2022/07/06 19:55,11,2,1,1,46,1,b'\xe3\xb7',1,[46],,,,,,,,,,,,,,,,,,,
8,2022/07/06 19:58,12,2,1,1,47,1,b'\xc9\x14',1,[47],,,,,,,,,,,,,,,,,,,
9,2022/07/06 20:00,13,2,1,1,40,1,b'\xe7L',1,"[40, 46]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
10,2022/07/06 20:01,14,2,1,1,48,1,b'5\x14',1,[48],,,,,,,,,,,,,,,,,,,
11,2022/07/06 20:02,15,2,1,1,44,2,b'\xdf2',2,"[44, 44]",,,,,,,,,,,,,,,,,,,
12,2022/07/06 20:03,16,3,1,1,44,1,b'\xef>',1,"[44, 46]",0.0,1.0,,,,,,,,,,,,,,,,,
13,2022/07/06 20:05,17,2,1,1,39,1,b'\xaa\x0e',1,"[39, 41]",0.0,1.0,,,,,,,,,,,,,,,,,
14,2022/07/06 20:06,18,2,1,1,40,1,b'\x92\xa5',1,"[40, 59]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,2022/07/06 20:06,19,3,1,1,49,1,b'\x87)',1,[49],,,,,,,,,,,,,,,,,,,
16,2022/07/06 20:08,20,3,1,1,44,1,b'\xef\x82',1,[44],,,,,,,,,,,,,,,,,,,
17,2022/07/06 20:10,21,2,1,1,35,1,b'\x03\x0c',1,"[35, 39, 45]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
18,2022/07/06 20:11,22,2,1,1,40,1,"b""0'""",1,[40],,,,,,,,,,,,,,,,,,,
19,2022/07/06 20:13,23,3,1,1,48,1,b'\x93\xb4',1,[48],,,,,,,,,,,,,,,,,,,
20,2022/07/06 20:14,24,2,1,1,38,1,b'\xfd\x97',1,[38],,,,,,,,,,,,,,,,,,,
21,2022/07/06 20:18,25,2,1,1,43,1,b'\xd9-',1,[43],,,,,,,,,,,,,,,,,,,
22,2022/07/06 20:21,26,2,1,1,30,1,b'\xbf|',1,[30],,,,,,,,,,,,,,,,,,,
23,2022/07/06 20:21,27,3,1,1,47,1,b'\xe3\xb7',1,[47],,,,,,,,,,,,,,,,,,,
24,2022/07/06 20:23,28,2,1,1,45,1,b'PO',1,"[45, 51]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
25,2022/07/06 20:24,29,2,1,1,46,1,b'\xdc\x8f',1,[46],,,,,,,,,,,,,,,,,,,
26,2022/07/06 20:31,30,2,1,1,45,1,b'\xd2\xd9',1,[45],,,,,,,,,,,,,,,,,,,
27,2022/07/06 20:32,31,2,1,1,50,1,b'\x1f\xb8',1,[50],,,,,,,,,,,,,,,,,,,
28,2022/07/06 20:33,32,2,1,1,46,1,b'y\xa9',1,[46],,,,,,,,,,,,,,,,,,,
29,2022/07/06 20:35,33,2,1,1,36,1,b'=`',1,[36],,,,,,,,,,,,,,,,,,,
30,2022/07/06 20:35,34,3,1,1,44,1,b'\x11\x80',1,[44],,,,,,,,,,,,,,,,,,,
31,2022/07/06 20:37,35,2,1,1,34,1,b'\x89\x9b',1,[34],,,,,,,,,,,,,,,,,,,
32,2022/07/06 20:40,36,2,1,1,48,1,b'\xcf\xde',1,[48],,,,,,,,,,,,,,,,,,,
33,2022/07/06 20:41,37,2,1,1,41,1,"b""\xe0'""",1,[41],,,,,,,,,,,,,,,,,,,
34,2022/07/06 20:42,38,2,1,1,40,1,b'}w',1,[40],,,,,,,,,,,,,,,,,,,
35,2022/07/06 20:46,39,2,1,1,45,1,b'F\xc3',1,"[45, 47]",0.0,1.0,,,,,,,,,,,,,,,,,
36,2022/07/06 20:47,40,2,1,1,32,1,b'*\x8c',1,[32],,,,,,,,,,,,,,,,,,,
37,2022/07/06 20:48,41,2,1,1,45,1,b'\t\xe0',1,[45],,,,,,,,,,,,,,,,,,,
