,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27
0,2022/07/06 23:58,4,2,1,1,31,1,b'c\xb8',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/07 00:02,5,2,1,1,39,1,b'*\xdb',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/07 00:17,6,2,1,1,52,1,b'\xf4\x8e',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/07 01:44,7,2,1,1,40,1,b')}',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/07 01:55,8,2,1,1,31,1,b'$\xd2',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/07 02:05,9,2,1,1,47,1,b'\xf8\xf7',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/07 02:33,10,2,1,1,43,1,b'\xe9\xd7',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/07 02:53,11,2,1,1,46,1,b'\xdf\xf7',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/07 03:04,12,2,1,1,59,1,b'\x1d\x81',1,[59],,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/07 03:05,13,2,1,1,53,1,b'\xb2\xec',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/07 03:21,14,2,1,1,34,1,b'\x87\x1d',1,[34],,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/07 03:29,15,2,1,1,46,1,b'i{',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,
