,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,recorded_speeds,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
0,2022/07/07 20:56,4,2,1,1,37,1,b'\xad#',1,0.0,0.0,0.0,0.0,1.0,"[37, 42]",,,,,,,,,,,,,,,,,,,,,
1,2022/07/07 20:58,5,2,1,1,42,1,b'\x0cE',1,,,,,,[42],,,,,,,,,,,,,,,,,,,,,
2,2022/07/07 20:59,6,3,1,1,45,1,b'$Z',1,,,,,,[45],,,,,,,,,,,,,,,,,,,,,
3,2022/07/07 21:00,7,2,1,1,40,1,b'Fl',1,0.0,0.0,0.0,0.0,0.0,"[40, 47]",0.0,1.0,,,,,,,,,,,,,,,,,,,
4,2022/07/07 21:05,8,2,1,1,23,1,b'(4',1,0.0,0.0,0.0,0.0,0.0,"[23, 49]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2022/07/07 21:06,9,2,1,1,33,1,"b""\xd5'""",1,0.0,0.0,1.0,,,"[33, 36]",,,,,,,,,,,,,,,,,,,,,
6,2022/07/07 21:08,10,2,1,1,43,1,b'\xc2\xdb',1,0.0,0.0,0.0,0.0,0.0,"[43, 51]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
7,2022/07/07 21:08,11,3,1,1,46,1,b'\xd2{',1,,,,,,[46],,,,,,,,,,,,,,,,,,,,,
8,2022/07/07 21:11,12,2,1,1,37,1,b'V@',1,,,,,,[37],,,,,,,,,,,,,,,,,,,,,
9,2022/07/07 21:12,13,2,1,1,36,1,b'\x1f;',1,,,,,,[36],,,,,,,,,,,,,,,,,,,,,
10,2022/07/07 21:13,14,2,1,1,42,1,b'\x81B',1,,,,,,[42],,,,,,,,,,,,,,,,,,,,,
11,2022/07/07 21:14,15,2,1,1,47,1,b'\xc1t',1,,,,,,[47],,,,,,,,,,,,,,,,,,,,,
12,2022/07/07 21:15,16,3,1,1,40,1,b'\xc7\xb2',1,,,,,,[40],,,,,,,,,,,,,,,,,,,,,
13,2022/07/07 21:18,17,3,1,1,45,1,b'\x16*',1,,,,,,[45],,,,,,,,,,,,,,,,,,,,,
14,2022/07/07 21:19,18,2,1,1,39,1,b'a4',1,,,,,,[39],,,,,,,,,,,,,,,,,,,,,
15,2022/07/07 21:20,19,2,1,1,28,1,b'\xa6b',1,0.0,0.0,0.0,0.0,0.0,"[28, 43]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
16,2022/07/07 21:21,20,2,1,1,53,1,b'\xfaV',1,,,,,,[53],,,,,,,,,,,,,,,,,,,,,
17,2022/07/07 21:23,21,2,1,1,38,1,b'|\xa5',1,,,,,,[38],,,,,,,,,,,,,,,,,,,,,
18,2022/07/07 21:23,22,3,1,1,38,1,b'X*',1,,,,,,[38],,,,,,,,,,,,,,,,,,,,,
19,2022/07/07 21:24,23,2,1,1,50,1,b'(\x96',1,,,,,,[50],,,,,,,,,,,,,,,,,,,,,
20,2022/07/07 21:26,24,2,1,1,40,1,b'\xd3\xd5',1,0.0,0.0,1.0,,,"[40, 43]",,,,,,,,,,,,,,,,,,,,,
21,2022/07/07 21:30,25,2,1,1,31,1,b'|Z',1,,,,,,[31],,,,,,,,,,,,,,,,,,,,,
22,2022/07/07 21:38,26,2,1,1,32,1,b'1I',1,,,,,,[32],,,,,,,,,,,,,,,,,,,,,
23,2022/07/07 21:59,27,2,1,1,47,1,b'\x9e\x87',1,,,,,,[47],,,,,,,,,,,,,,,,,,,,,
24,2022/07/07 22:04,28,2,1,1,36,1,b'$\x1f',1,,,,,,[36],,,,,,,,,,,,,,,,,,,,,
25,2022/07/07 22:10,29,2,1,1,41,1,b'n\xc1',1,,,,,,[41],,,,,,,,,,,,,,,,,,,,,
