,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
0,2022/07/08 00:41,4,2,1,1,41,1,b'ix',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/08 00:45,5,2,1,1,47,1,b'\x06\x82',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/08 01:05,6,3,1,1,44,1,b'\xeb\x06',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/08 01:14,7,2,1,1,53,1,b'!\x84',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/08 01:27,8,2,1,1,47,1,b'%\xf4',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/08 01:48,9,3,1,1,23,1,b'>\x12',1,[23],,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/08 02:07,10,2,1,1,44,1,b'\x0b\x0e',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/08 02:46,11,2,1,1,35,1,b'\xec\xf7',1,[35],,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/08 02:53,12,2,1,1,46,1,b'y\x98',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/08 03:06,13,2,1,1,57,1,b'dp',1,[57],,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/08 03:07,14,3,1,1,51,1,b'\xc3\xe4',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/08 03:14,15,2,1,1,47,1,b'\xa4\x93',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/08 03:18,16,3,1,1,49,1,b'&\x9d',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/08 03:39,17,2,1,1,50,1,b'\x9b\xd3',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/08 03:45,18,2,1,1,43,1,b'H\x97',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/08 04:02,19,2,1,1,45,1,b'\xe5\x01',1,"[45, 51]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
16,2022/07/08 04:03,20,2,1,1,47,1,b'\xee1',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/08 04:13,21,2,1,1,47,1,b'+d',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/08 04:16,22,2,1,1,49,1,b'\xafa',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/08 04:18,23,2,1,1,40,1,b'\x87N',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/08 04:18,24,3,1,1,42,1,b'\xa3\n',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022/07/08 04:19,25,2,1,1,44,1,b'\x01\x1d',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/08 04:23,26,2,1,1,48,1,b'P\xec',1,[48],,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022/07/08 04:24,27,2,1,1,53,1,b'?\x9a',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/08 04:25,28,2,1,1,50,1,b'\x86:',1,"[50, 59]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
25,2022/07/08 04:26,29,2,1,1,48,1,b'\xc1S',1,[48],,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/08 04:28,30,2,1,1,45,1,b'\xd1%',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/08 04:29,31,2,1,1,44,1,b'\x87\xfa',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022/07/08 04:31,32,2,1,1,41,1,b'\xa09',1,"[41, 58]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
29,2022/07/08 04:32,33,1,1,1,37,1,b'\xeb(',1,[37],,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/08 04:34,34,2,1,1,46,1,b'KA',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022/07/08 04:35,35,2,1,1,51,1,b'\x88\xca',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022/07/08 04:36,36,1,1,1,37,1,b'|\xb1',1,[37],,,,,,,,,,,,,,,,,,,,,,,,,,
33,2022/07/08 04:37,37,3,1,1,25,1,b'<\x14',1,[25],,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022/07/08 04:38,38,2,1,1,42,1,b' $',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,
