,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29,bucket_30,bucket_31,bucket_32,bucket_33,bucket_34
0,2022/07/08 18:39,4,2,1,1,49,1,b'\xd9\x0f',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/08 18:41,5,2,1,1,26,1,b'\x89u',1,"[26, 33, 45, 49]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
2,2022/07/08 18:43,6,2,1,1,49,1,b'6\n',1,"[49, 52]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/08 18:47,7,2,1,1,44,1,b'\x1c\xa2',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/08 18:48,8,3,1,1,52,1,b'[\x1a',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/08 18:49,9,3,1,1,51,1,b'G\x04',1,[51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/08 18:50,10,2,1,1,42,1,b'v\xed',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/08 18:53,11,3,1,1,49,1,b'\xe5\x16',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/08 18:54,12,2,1,1,46,1,b'f\x94',1,"[46, 50]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/08 18:55,13,2,1,1,44,1,b'\xb7f',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/08 18:57,14,2,1,1,38,1,b'\xb7\x8d',1,"[38, 48]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/08 19:02,15,2,1,1,33,1,b'\x989',1,"[33, 67]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,2022/07/08 19:03,16,2,1,1,43,1,b'\xa37',1,"[43, 47, 53]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/08 19:04,17,2,1,1,45,1,b'\x96\x99',1,"[45, 53]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/08 19:05,18,2,1,1,40,1,b'$\xe8',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/08 19:06,19,2,1,1,56,1,b'\x92s',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/08 19:07,20,2,1,1,32,1,b'\x9e\xf4',1,"[32, 44]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
