,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,recorded_speeds,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29
0,2022/07/10 13:54,4,2,1,1,27,1,b'\xf5\x03',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"[27, 37, 41, 47]",,,,,,,,,
1,2022/07/10 13:55,5,2,1,1,54,1,b'k\xff',1,,,,,,,,,,,,,,,,,,,,,[54],,,,,,,,,
2,2022/07/10 13:56,6,3,1,1,44,1,b'\xb8s',1,,,,,,,,,,,,,,,,,,,,,[44],,,,,,,,,
3,2022/07/10 13:57,7,3,1,1,45,1,b'\xee\xac',1,,,,,,,,,,,,,,,,,,,,,[45],,,,,,,,,
4,2022/07/10 13:58,8,2,1,1,32,1,b'4\x8c',1,,,,,,,,,,,,,,,,,,,,,[32],,,,,,,,,
5,2022/07/10 14:00,9,2,1,1,35,1,b'\xb4<',1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,"[35, 39, 50]",,,,,,,,,
6,2022/07/10 14:05,10,2,1,1,27,1,"b',\xd7'",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,"[27, 46]",,,,,,,,,
7,2022/07/10 14:06,11,3,1,1,43,1,b'>u',1,,,,,,,,,,,,,,,,,,,,,[43],,,,,,,,,
8,2022/07/10 14:07,12,2,1,1,49,1,b'Z\n',1,,,,,,,,,,,,,,,,,,,,,[49],,,,,,,,,
9,2022/07/10 14:08,13,2,1,1,43,1,b'\xbd\x87',1,,,,,,,,,,,,,,,,,,,,,[43],,,,,,,,,
10,2022/07/10 14:09,14,3,1,1,50,1,b'\xa6\x7f',1,,,,,,,,,,,,,,,,,,,,,[50],,,,,,,,,
11,2022/07/10 14:10,15,2,1,1,53,1,b'E\xef',1,,,,,,,,,,,,,,,,,,,,,[53],,,,,,,,,
12,2022/07/10 14:12,16,2,1,1,42,1,b'\ry',1,,,,,,,,,,,,,,,,,,,,,[42],,,,,,,,,
13,2022/07/10 14:15,17,2,1,1,45,1,b';v',1,,,,,,,,,,,,,,,,,,,,,[45],,,,,,,,,
14,2022/07/10 14:18,18,2,1,1,42,1,b'}I',1,,,,,,,,,,,,,,,,,,,,,[42],,,,,,,,,
15,2022/07/10 14:19,19,2,1,1,38,1,b'\xa4\x1d',1,,,,,,,,,,,,,,,,,,,,,[38],,,,,,,,,
16,2022/07/10 14:19,20,3,1,1,42,1,b'\x06\xa7',1,,,,,,,,,,,,,,,,,,,,,[42],,,,,,,,,
17,2022/07/10 14:20,21,2,1,1,40,1,b'Wf',1,,,,,,,,,,,,,,,,,,,,,[40],,,,,,,,,
18,2022/07/10 14:22,22,3,1,1,40,1,b'Y\xf8',1,,,,,,,,,,,,,,,,,,,,,[40],,,,,,,,,
19,2022/07/10 14:25,23,2,1,1,42,1,b'\xc2F',1,,,,,,,,,,,,,,,,,,,,,[42],,,,,,,,,
20,2022/07/10 14:26,24,2,1,1,48,1,b'Mm',1,,,,,,,,,,,,,,,,,,,,,[48],,,,,,,,,
21,2022/07/10 14:27,25,2,1,1,38,1,b'\x9b&',1,,,,,,,,,,,,,,,,,,,,,[38],,,,,,,,,
22,2022/07/10 14:27,26,3,1,1,42,1,b'\xf2\xbc',1,0.0,1.0,,,,,,,,,,,,,,,,,,,"[42, 44]",,,,,,,,,
23,2022/07/10 14:29,27,2,1,1,33,1,b'\x94\xc1',1,,,,,,,,,,,,,,,,,,,,,[33],,,,,,,,,
24,2022/07/10 14:30,28,3,1,1,48,1,b'\x1f\xe5',1,,,,,,,,,,,,,,,,,,,,,[48],,,,,,,,,
25,2022/07/10 14:32,29,2,1,1,30,1,b'\xb3\x06',1,,,,,,,,,,,,,,,,,,,,,[30],,,,,,,,,
26,2022/07/10 14:34,30,2,1,1,36,1,b'P\xbd',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,"[36, 45]",,,,,,,,,
27,2022/07/10 14:34,31,3,1,1,50,1,b'\xca\x0e',1,,,,,,,,,,,,,,,,,,,,,[50],,,,,,,,,
28,2022/07/10 14:35,32,2,1,1,33,1,b'\x802',1,,,,,,,,,,,,,,,,,,,,,[33],,,,,,,,,
29,2022/07/10 14:36,33,2,1,1,42,1,b'g\x95',1,,,,,,,,,,,,,,,,,,,,,[42],,,,,,,,,
30,2022/07/10 14:37,34,2,1,1,43,1,b'\x00^',1,,,,,,,,,,,,,,,,,,,,,[43],,,,,,,,,
31,2022/07/10 14:39,35,2,1,1,40,1,"b""'n""",1,,,,,,,,,,,,,,,,,,,,,[40],,,,,,,,,
32,2022/07/10 14:39,36,3,1,1,50,1,b'\xbe\\',1,,,,,,,,,,,,,,,,,,,,,[50],,,,,,,,,
33,2022/07/10 14:40,37,2,1,1,41,1,b'\xe7\xd8',1,,,,,,,,,,,,,,,,,,,,,[41],,,,,,,,,
34,2022/07/10 14:40,38,3,1,1,54,1,b'K\xac',1,,,,,,,,,,,,,,,,,,,,,[54],,,,,,,,,
35,2022/07/10 14:41,39,3,1,1,43,1,"b""\x88'""",1,,,,,,,,,,,,,,,,,,,,,[43],,,,,,,,,
36,2022/07/10 14:43,40,3,1,1,44,1,b'\xd4\t',1,,,,,,,,,,,,,,,,,,,,,[44],,,,,,,,,
37,2022/07/10 14:44,41,2,1,1,45,2,b' \xc7',2,,,,,,,,,,,,,,,,,,,,,"[45, 45]",,,,,,,,,
38,2022/07/10 14:45,42,3,1,1,46,1,b'\x8c\x80',1,,,,,,,,,,,,,,,,,,,,,[46],,,,,,,,,
39,2022/07/10 14:46,43,2,1,1,40,1,b'\x13\x02',1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,"[40, 43, 53]",,,,,,,,,
40,2022/07/10 14:47,44,3,1,1,43,1,b'v\xf2',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,"[43, 56]",,,,,,,,,
41,2022/07/10 14:50,45,2,1,1,49,1,b'\xfe\xb5',1,,,,,,,,,,,,,,,,,,,,,[49],,,,,,,,,
42,2022/07/10 14:51,46,2,1,1,35,1,b'Kc',1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,"[35, 37, 53]",,,,,,,,,
