,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16
0,2022/07/11 21:08,4,2,1,1,34,1,b'\xea\x95',1,[34],,,,,,,,,,,,,,,,
1,2022/07/11 21:09,5,2,1,1,49,1,b'a\x93',1,"[49, 51]",0.0,1.0,,,,,,,,,,,,,,
2,2022/07/11 21:11,6,2,1,1,36,1,b'F\x1c',1,[36],,,,,,,,,,,,,,,,
3,2022/07/11 21:13,7,2,1,1,39,1,b'\xb6\xbe',1,"[39, 40]",1.0,,,,,,,,,,,,,,,
4,2022/07/11 21:14,8,2,1,1,25,1,b'\xce.',1,"[25, 35]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
5,2022/07/11 21:16,9,2,1,1,37,1,b'#\xb4',1,[37],,,,,,,,,,,,,,,,
6,2022/07/11 21:16,10,3,1,1,40,1,b'X:',1,[40],,,,,,,,,,,,,,,,
7,2022/07/11 21:23,11,2,1,1,37,1,b'\xd6J',1,"[37, 38, 53]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2022/07/11 21:24,12,2,1,1,32,1,b'\xcc\x03',1,[32],,,,,,,,,,,,,,,,
9,2022/07/11 21:30,13,2,1,1,38,1,b'Yb',1,[38],,,,,,,,,,,,,,,,
10,2022/07/11 21:32,14,2,1,1,45,1,b'\x15\xeb',1,[45],,,,,,,,,,,,,,,,
11,2022/07/11 21:35,15,3,1,1,37,1,b'\x0f\xc9',1,[37],,,,,,,,,,,,,,,,
12,2022/07/11 21:39,16,2,1,1,39,1,b'F\x13',1,[39],,,,,,,,,,,,,,,,
13,2022/07/11 21:41,17,3,1,1,52,1,b':?',1,[52],,,,,,,,,,,,,,,,
14,2022/07/11 21:46,18,2,1,1,39,1,b'N\xd3',1,"[39, 42]",0.0,0.0,1.0,,,,,,,,,,,,,
15,2022/07/11 21:49,19,2,1,1,33,1,b'v\x99',1,[33],,,,,,,,,,,,,,,,
16,2022/07/11 22:05,20,2,1,1,49,1,b'\xb5\xab',1,[49],,,,,,,,,,,,,,,,
17,2022/07/11 22:06,21,2,1,1,47,1,b'A\x9e',1,[47],,,,,,,,,,,,,,,,
18,2022/07/11 22:09,22,3,1,1,34,1,b'\x12\x86',1,[34],,,,,,,,,,,,,,,,
19,2022/07/11 22:12,23,2,1,1,39,1,b'\x98\x8b',1,[39],,,,,,,,,,,,,,,,
20,2022/07/11 22:13,24,2,1,1,50,1,b'\xe4\xb0',1,"[50, 59]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
21,2022/07/11 22:14,25,2,1,1,44,1,b'\xe0\xbc',1,[44],,,,,,,,,,,,,,,,
22,2022/07/11 22:24,26,2,1,1,38,1,b'\xe4\xa1',1,[38],,,,,,,,,,,,,,,,
23,2022/07/11 22:29,27,3,1,1,42,1,b'\rU',1,[42],,,,,,,,,,,,,,,,
24,2022/07/11 22:33,28,2,1,1,38,1,b'\r&',1,"[38, 51]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
25,2022/07/11 22:52,29,2,1,1,50,1,b'\xfc\x15',1,[50],,,,,,,,,,,,,,,,
26,2022/07/11 23:02,30,2,1,1,46,1,b'\xdd[',1,[46],,,,,,,,,,,,,,,,
27,2022/07/11 23:20,31,2,1,1,44,1,b'0\xb7',1,[44],,,,,,,,,,,,,,,,
28,2022/07/11 23:31,32,3,1,1,52,1,b'_\xaf',1,[52],,,,,,,,,,,,,,,,
29,2022/07/11 23:49,33,3,1,1,35,1,b'#\x99',1,[35],,,,,,,,,,,,,,,,
