,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29,bucket_30,bucket_31
0,2022/07/13 21:32,4,2,1,1,38,1,b'\x1a\xc3',1,[38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/13 21:33,5,2,1,1,46,1,b'/\xe5',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/13 21:36,6,2,1,1,45,1,b'\xdb(',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/13 21:37,7,2,1,1,40,1,b'ru',1,"[40, 45]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/13 21:38,8,2,1,1,42,1,b'\x97\x88',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/13 21:39,9,2,1,1,34,1,b'\xa2\xae',1,[34],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/13 21:41,10,2,1,1,31,1,b'+(',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/13 21:48,11,2,1,1,41,1,b'\xf0l',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/13 21:49,12,3,1,1,44,1,b'\xccb',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/13 21:53,13,2,1,1,46,1,b'\xa1~',1,"[46, 49]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/13 21:54,14,2,1,1,39,1,b'\xc9\x00',1,"[39, 41]",0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/13 22:07,15,3,1,1,36,1,b'\xee\xc5',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/13 22:11,16,3,1,1,49,1,b'8k',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/13 22:15,17,2,1,1,39,1,b'#\xcd',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/13 22:17,18,2,1,1,42,1,b'\xcc\xf8',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/13 22:18,19,2,1,1,45,1,b'\xa2m',1,"[45, 50]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/13 22:26,20,2,1,1,56,1,b'\x85\x97',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/13 22:33,21,2,1,1,43,1,b'\x99^',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/13 22:46,22,2,1,1,49,1,b'\x9fM',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/13 22:50,23,2,1,1,49,1,b'4|',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/13 22:50,24,3,1,1,42,1,b'\x02\x88',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022/07/13 23:05,25,2,1,1,42,1,b'\x7f\xde',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/13 23:16,26,2,1,1,32,1,b'|\x15',1,[32],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022/07/13 23:34,27,2,1,1,53,1,b'\xcd\xa5',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/13 23:37,28,2,1,1,41,1,b'\xf9\xaa',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022/07/13 23:42,29,2,1,1,42,1,b'\x0c\x97',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/13 23:45,30,2,1,1,52,1,"b',\x89'",1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/13 23:50,31,2,1,1,45,1,b'BT',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022/07/14 00:08,32,2,1,1,41,1,b'\x92\xf3',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022/07/14 00:08,33,3,1,1,56,1,b'M=',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/14 00:29,34,2,1,1,47,1,b'\xb5!',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
