,record_number,date_time,recorded_speeds
47,47,2022/07/04 00:00,43
48,48,2022/07/04 00:01,44
49,49,2022/07/04 00:03,43
50,50,2022/07/04 00:13,59
51,51,2022/07/04 00:13,71
52,52,2022/07/04 00:18,42
53,53,2022/07/04 00:21,42
54,54,2022/07/04 00:48,48
55,55,2022/07/04 00:51,41
56,56,2022/07/04 00:51,59
57,57,2022/07/04 00:55,45
58,58,2022/07/04 00:57,43
59,59,2022/07/04 00:58,44
60,60,2022/07/04 01:00,31
61,61,2022/07/04 01:01,55
62,62,2022/07/04 01:06,41
63,63,2022/07/04 01:30,27
64,64,2022/07/04 01:31,42
65,65,2022/07/04 02:06,36
66,66,2022/07/04 02:07,44
67,67,2022/07/04 02:09,46
68,68,2022/07/04 02:12,48
69,69,2022/07/04 02:31,49
70,70,2022/07/04 03:23,45
71,71,2022/07/04 03:32,53
72,72,2022/07/04 03:52,60
73,73,2022/07/04 04:01,53
74,74,2022/07/04 04:10,43
75,75,2022/07/04 04:14,55
76,76,2022/07/04 04:22,56
77,77,2022/07/04 04:37,29
78,78,2022/07/04 04:51,44
79,79,2022/07/04 04:57,41
80,80,2022/07/04 05:00,49
81,81,2022/07/04 05:12,49
82,82,2022/07/04 05:21,43
83,83,2022/07/04 05:26,42
84,84,2022/07/04 05:34,49
85,85,2022/07/04 05:43,44
86,86,2022/07/04 05:46,59
87,87,2022/07/04 05:50,43
88,88,2022/07/04 05:52,42
89,89,2022/07/04 05:57,44
90,90,2022/07/04 06:01,54
91,91,2022/07/04 06:11,55
92,92,2022/07/04 06:12,55
93,93,2022/07/04 06:15,61
94,94,2022/07/04 06:23,45
95,95,2022/07/04 06:25,58
96,96,2022/07/04 06:25,65
97,97,2022/07/04 06:27,55
98,98,2022/07/04 06:32,51
99,99,2022/07/04 06:36,46
100,100,2022/07/04 06:42,50
101,101,2022/07/04 06:43,49
102,102,2022/07/04 06:52,54
103,103,2022/07/04 06:54,52
104,104,2022/07/04 06:59,46
105,105,2022/07/04 07:09,46
106,106,2022/07/04 07:09,49
107,107,2022/07/04 07:14,46
108,108,2022/07/04 07:24,59
109,109,2022/07/04 07:25,53
110,110,2022/07/04 07:26,42
111,111,2022/07/04 07:31,48
112,112,2022/07/04 07:37,43
113,113,2022/07/04 07:42,50
114,114,2022/07/04 07:48,55
115,115,2022/07/04 07:50,42
116,116,2022/07/04 07:53,62
117,117,2022/07/04 07:54,47
118,118,2022/07/04 07:58,43
119,119,2022/07/04 08:01,52
120,120,2022/07/04 08:04,54
121,121,2022/07/04 08:18,49
122,122,2022/07/04 08:21,53
123,123,2022/07/04 08:28,44
124,124,2022/07/04 08:32,43
125,125,2022/07/04 08:33,50
126,126,2022/07/04 08:35,46
127,127,2022/07/04 08:35,40
128,128,2022/07/04 08:35,51
129,129,2022/07/04 08:36,48
130,130,2022/07/04 08:41,49
131,131,2022/07/04 08:43,56
132,132,2022/07/04 08:49,30
133,133,2022/07/04 08:51,44
134,134,2022/07/04 08:55,45
135,135,2022/07/04 08:55,47
136,136,2022/07/04 08:56,49
137,137,2022/07/04 08:56,50
138,138,2022/07/04 09:04,60
139,139,2022/07/04 09:07,45
140,140,2022/07/04 09:11,43
141,141,2022/07/04 09:17,56
142,142,2022/07/04 09:20,44
143,143,2022/07/04 09:20,45
144,144,2022/07/04 09:24,49
145,145,2022/07/04 09:24,59
146,146,2022/07/04 09:25,45
147,147,2022/07/04 09:25,51
148,148,2022/07/04 09:26,53
149,149,2022/07/04 09:28,46
150,150,2022/07/04 09:29,53
151,151,2022/07/04 09:30,50
152,152,2022/07/04 09:31,62
153,153,2022/07/04 09:33,56
154,154,2022/07/04 09:34,53
155,155,2022/07/04 09:35,49
156,156,2022/07/04 09:36,57
157,157,2022/07/04 09:37,47
158,158,2022/07/04 09:38,56
159,159,2022/07/04 09:42,43
160,160,2022/07/04 09:42,46
161,161,2022/07/04 09:42,49
162,162,2022/07/04 09:43,58
163,163,2022/07/04 09:44,48
164,164,2022/07/04 09:45,53
165,165,2022/07/04 09:49,46
166,166,2022/07/04 09:53,45
167,167,2022/07/04 09:58,52
168,168,2022/07/04 10:07,50
169,169,2022/07/04 10:07,53
