record_number,date_time,recorded_speeds
4,2022/07/12 00:16,49
5,2022/07/12 00:17,36
6,2022/07/12 00:37,52
7,2022/07/12 01:07,32
8,2022/07/12 01:13,56
9,2022/07/12 01:25,56
10,2022/07/12 01:39,39
11,2022/07/12 02:35,34
12,2022/07/12 02:39,46
13,2022/07/12 02:47,41
14,2022/07/12 02:48,42
15,2022/07/12 02:50,47
16,2022/07/12 02:57,37
17,2022/07/12 02:59,47
18,2022/07/12 03:08,49
19,2022/07/12 03:11,46
20,2022/07/12 03:31,30
21,2022/07/12 03:34,42
22,2022/07/12 03:42,48
22,2022/07/12 03:42,48
23,2022/07/12 03:45,48
24,2022/07/12 03:45,51
25,2022/07/12 03:52,51
26,2022/07/12 03:55,47
27,2022/07/12 04:02,48
28,2022/07/12 04:04,40
29,2022/07/12 04:11,49
30,2022/07/12 04:13,51
31,2022/07/12 04:17,39
32,2022/07/12 04:17,44
33,2022/07/12 04:19,43
33,2022/07/12 04:19,50
34,2022/07/12 04:20,40
34,2022/07/12 04:20,45
35,2022/07/12 04:26,45
36,2022/07/12 04:29,43
36,2022/07/12 04:29,48
37,2022/07/12 04:31,49
38,2022/07/12 04:32,35
38,2022/07/12 04:32,49
38,2022/07/12 04:32,60
39,2022/07/12 04:33,50
40,2022/07/12 04:35,53
41,2022/07/12 04:35,44
42,2022/07/12 04:35,44
43,2022/07/12 04:36,58
44,2022/07/12 04:37,43
45,2022/07/12 04:38,38
46,2022/07/12 04:39,43
47,2022/07/12 04:42,42
47,2022/07/12 04:42,48
48,2022/07/12 04:42,43
49,2022/07/12 04:43,44
49,2022/07/12 04:43,47
50,2022/07/12 04:44,40
51,2022/07/12 04:44,37
52,2022/07/12 04:45,45
53,2022/07/12 04:46,38
53,2022/07/12 04:46,47
54,2022/07/12 04:46,46
54,2022/07/12 04:46,47
55,2022/07/12 04:48,48
55,2022/07/12 04:48,52
56,2022/07/12 04:49,44
56,2022/07/12 04:49,46
57,2022/07/12 04:50,46
57,2022/07/12 04:50,52
58,2022/07/12 04:50,45
58,2022/07/12 04:50,47
58,2022/07/12 04:50,60
59,2022/07/12 04:51,48
59,2022/07/12 04:51,52
60,2022/07/12 04:52,47
61,2022/07/12 04:53,40
61,2022/07/12 04:53,41
61,2022/07/12 04:53,48
62,2022/07/12 04:53,41
63,2022/07/12 04:54,41
63,2022/07/12 04:54,47
64,2022/07/12 04:55,36
65,2022/07/12 04:56,39
66,2022/07/12 04:56,49
67,2022/07/12 04:57,43
67,2022/07/12 04:57,55
